City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,vilhena,-12.7406,-60.1458,32.12,29,0,3.6,BR,1722891922
117,happy valley-goose bay,53.3168,-60.3315,25.17,38,20,4.63,CA,1722891923
118,daye,30.0833,114.95,25.23,68,6,1.61,CN,1722891924
119,namtsy,62.7161,129.6658,12.94,89,100,3.95,RU,1722891925
120,caconda,-13.7333,15.0667,16.34,30,0,1.48,AO,1722891926
121,ust'-ordynskiy,52.805,104.7508,11.78,86,0,0.52,RU,1722891928
122,hithadhoo,-0.6,73.0833,28.31,74,100,1.02,MV,1722891929
123,bodo,67.28,14.405,18.21,82,0,2.57,NO,1722891930
124,inirida,3.8653,-67.9239,25.93,90,84,1.83,CO,1722891932
125,tsiombe,-25.3,45.4833,17.96,93,4,0.88,MG,1722891933
126,fiditi,7.7136,3.9172,22.84,85,100,3.27,NG,1722891934
127,brisas de zicatela,15.8369,-97.0419,29.19,73,76,2.55,MX,1722891935
128,belyy yar,53.6039,91.3903,17.94,77,40,4.0,RU,1722891936
129,laojunmiao,39.8333,97.7333,20.84,37,2,2.31,CN,1722891938
130,bilibino,68.0546,166.4372,3.24,64,90,1.2,RU,1722891939
131,choibalsan,48.0667,114.5,15.59,83,62,0.95,MN,1722891940
132,usman',52.0466,39.7288,17.02,65,78,1.77,RU,1722891941
133,borba,-4.3878,-59.5939,34.48,31,96,0.71,BR,1722891942
134,port alfred,-33.5906,26.891,13.58,62,0,4.08,ZA,1722891944
135,saint-pierre,-21.3393,55.4781,18.82,63,0,3.09,RE,1722891947
136,remire-montjoly,4.9167,-52.2667,30.02,70,6,3.6,GF,1722891948
137,kununurra,-15.7667,128.7333,17.99,88,47,0.0,AU,1722891949
138,mo i rana,66.3128,14.1428,17.4,82,0,0.0,NO,1722891950
139,weno,7.4515,151.8468,28.72,72,100,4.56,FM,1722891951
140,kirakira,-10.4544,161.9205,25.65,86,100,4.29,SB,1722891953
141,kirs,59.3388,52.2447,14.41,98,57,1.51,RU,1722891954
142,massawa,15.6097,39.45,33.55,60,61,3.68,ER,1722891956
143,nova sintra,14.8667,-24.7167,27.08,79,33,2.05,CV,1722891957
144,chernogorsk,53.8236,91.2842,17.76,77,40,4.0,RU,1722891958
145,zouerate,22.7187,-12.4521,36.94,15,1,10.01,MR,1722891959
146,shingu,33.7333,135.9833,25.62,93,79,1.21,JP,1722891960
147,tazovsky,67.4667,78.7,6.09,77,94,4.67,RU,1722891961
